1957-01-27,8,12,31,39,43,45
1957-02-03,5,10,11,22,25,27
1957-02-10,18,19,20,26,45,49
1957-02-17,2,11,14,37,40,45
1957-02-24,8,10,15,35,39,49
1957-03-03,24,26,31,35,43,47
1957-03-10,13,20,23,29,38,44
1957-03-17,8,13,15,22,38,47
1957-03-24,3,10,27,29,34,42
1957-03-31,4,5,6,13,23,25
1957-04-07,1,7,13,15,21,39
1957-04-14,2,4,31,38,39,46
1957-04-28,15,18,22,26,33,38
1957-05-05,2,4,11,18,25,48
1957-05-12,2,8,28,31,32,33
1957-05-19,10,13,19,21,32,34
1957-05-26,16,24,25,29,32,36
1957-06-02,10,11,12,31,32,33
1957-06-09,5,16,23,30,32,46
1957-06-16,3,5,11,14,33,48
1957-06-23,4,9,16,19,28,39
1957-06-30,13,19,21,24,30,36
1957-07-07,8,14,24,26,30,33
1957-07-14,1,11,14,25,44,49
