1996-03-18,4,9,10,16,21,22,23,26,27,34,35,41,42,48,62,66,68,73,76,78
1996-03-19,6,12,15,19,28,33,35,39,44,48,49,59,62,63,64,67,69,71,75,77
1996-03-21,2,4,6,7,15,16,17,19,20,26,28,45,48,52,54,69,72,73,75,77
1996-03-22,3,8,15,17,19,25,30,33,34,35,36,38,44,49,60,61,64,67,68,75
1996-03-25,2,10,11,14,18,22,26,27,29,30,42,44,45,55,60,61,66,67,75,79
1996-03-26,4,10,12,19,20,22,30,31,32,37,44,45,55,57,60,61,64,69,70,72
1996-03-28,1,4,9,11,12,13,15,26,32,35,39,40,49,53,62,63,72,73,77,78
1996-03-29,3,9,13,14,24,27,29,32,35,41,44,47,49,50,61,64,66,69,72,73
1996-04-01,2,4,6,9,12,14,20,21,25,35,39,43,44,45,48,50,52,61,69,72
1996-04-02,4,6,9,11,13,21,23,32,33,35,41,43,51,57,63,66,67,70,75,78
1996-04-04,8,10,11,12,13,18,21,26,31,32,40,44,48,49,53,61,65,70,75,80
1996-04-05,12,14,15,17,23,28,35,41,46,49,50,51,53,58,64,66,72,74,79,80
1996-04-09,7,10,13,21,26,30,36,41,43,46,53,59,60,61,62,64,65,74,77,79
1996-04-11,1,3,13,16,18,23,24,25,31,37,38,41,42,47,49,63,67,73,74,76
1996-04-12,2,4,10,19,20,21,22,24,30,33,35,37,45,47,58,59,64,68,76,77
1996-04-15,2,10,14,16,25,27,28,29,30,31,32,41,43,45,49,60,61,62,69,71
1996-04-16,3,5,6,12,17,21,22,23,30,33,34,39,41,42,56,65,67,73,76,80
1996-04-18,6,8,22,27,28,30,36,37,42,45,46,56,57,58,59,65,69,71,75,77
1996-04-19,8,9,10,11,13,15,23,24,26,31,32,33,42,47,54,57,62,64,78,79
1996-04-22,4,9,11,15,16,23,25,28,31,40,43,47,49,56,60,61,65,69,70,79
1996-04-23,9,13,20,23,29,31,34,36,40,41,43,55,57,59,65,66,68,71,72,74
1996-04-25,2,8,15,16,25,27,29,32,34,38,40,45,47,53,57,58,62,63,69,74
1996-04-26,9,11,14,15,17,24,25,26,30,31,40,42,48,60,61,65,68,69,71,80
1996-04-29,2,9,17,21,22,24,25,27,28,30,31,40,47,60,66,70,72,75,79,80
1996-04-30,8,10,17,25,26,29,33,35,36,41,43,45,46,48,52,53,73,75,78,79
1996-05-02,2,5,6,12,19,28,30,35,39,40,46,47,50,52,70,71,72,74,75,76
